ID;Traditional;Simplified;Pinyin;Meaning
5673;別看;别看;biékàn;don't look
5674;別墅;别墅;biéshù;villa
5675;別說;别说;biéshuō;don't say
5676;別提了;别提了;biétí le;don't even mention it.
5677;別緻;别致;biézhì;chic
5678;彆扭;别扭;bièniu;awkward
5679;彬彬有禮;彬彬有礼;bīnbīn-yǒulǐ;polite
5680;濱海;滨海;bīn hǎi;binhai
5681;繽紛;缤纷;bīnfēn;colorful
5682;冰棍兒;冰棍儿;bīnggùnr;popsicle
5683;冰山;冰山;bīngshān;iceberg
5684;丙;丙;bǐng;c
5685;秉承;秉承;bǐngchéng;adhering to
5686;並非;并非;bìngfēi;not
5687;併購;并购;bìnggòu;mergers and acquisitions
5688;並列;并列;bìngliè;parallel
5689;並行;并行;bìngxíng;parallel
5690;病床;病床;bìngchuáng;hospital bed
5691;病症;病症;bìngzhèng;disease
5692;撥;拨;bō;discard
5693;撥款;拨款;bōkuǎn;funding
5694;撥通;拨通;bōtōng;dial
5695;波及;波及;bōjí;spread
5696;波瀾;波澜;bōlán;waves
5697;波濤;波涛;bōtāo;waves
5698;波折;波折;bōzhé;twists and turns
5699;剝奪;剥夺;bōduó;deprivation
5700;剝削;剥削;bōxuē;exploitation
5701;伯伯;伯伯;bóbo;uncle
5702;伯父;伯父;bófù;uncle
5703;伯母;伯母;bómǔ;aunt
5704;駁回;驳回;bóhuí;refuting
5705;脖子;脖子;bózi;neck
5706;搏鬥;搏斗;bódòu;fighting
5707;不定;不定;bùdìng;indefinite
5708;不見得;不见得;bùjiàndé;not necessarily
5709;不利於;不利于;bùlì yú;disadvantage
5710;不慎;不慎;bùshèn;carelessly
5711;不適;不适;bùshì;discomfort
5712;不算;不算;bù suàn;not count
5713;不像話;不像话;bùxiànghuà;outrageous
5714;不屑;不屑;bùxiè;disdain
5715;不懈;不懈;bùxiè;unremitting
5716;不亞於;不亚于;bùyàyú;no less than
5717;不亦樂乎;不亦乐乎;bùyìlèhū;isn't it delightful?
5718;不翼而飛;不翼而飞;bùyì'érfēi;vanished
5719;不用說;不用说;bùyòngshuō;needless to say
5720;不正之風;不正之风;bùzhèngzhīfēng;unhealthy practices
5721;補給;补给;bǔjǐ;supplies
5722;補救;补救;bǔjiù;remedies
5723;捕捉;捕捉;bǔzhuō;capture
5724;哺育;哺育;bǔyù;nurturing
5725;不恥下問;不耻下问;bùchǐ-xiàwèn;not ashamed to ask questions
5726;不辭而別;不辞而别;bùcí'érbié;leave without saying goodbye
5727;不得而知;不得而知;bùdé'érzhī;unknown
5728;不得已;不得已;bùdéyǐ;unavoidable
5729;不妨;不妨;bùfáng;why not
5730;不服;不服;bùfú;dissatisfied
5731;不服氣;不服气;bù fúqì;unconvinced
5732;不假思索;不假思索;bùjiǎ-sīsuǒ;without thinking
5733;不解;不解;bùjiě;puzzling
5734;不經意;不经意;bùjīngyì;unintentionally
5735;不景氣;不景气;bùjǐngqì;recession
5736;不堪;不堪;bùkān;unbearable
5737;不可避免;不可避免;bùkě-bìmiǎn;inevitable
5738;不可思議;不可思议;bùkě-sīyì;incredible
5739;不肯;不肯;bù kěn;unwilling
5740;不理;不理;bù lǐ;ignore
5741;不了了之;不了了之;bùliǎo-liǎozhī;it ended without a resolution.
5742;不難;不难;bù nán;not difficult
5743;不平;不平;bùpíng;injustice
5744;不起眼;不起眼;bùqǐyǎn;unremarkable
5745;不容;不容;bùróng;not allowed
5746;不如說;不如说;bùrú shuō;rather
5747;不同尋常;不同寻常;bùtóng-xúncháng;unusual
5748;不為人知;不为人知;bùwéirénzhī;unknown
5749;不惜;不惜;bùxī;not at all
5750;不相上下;不相上下;bùxiāng-shàngxià;neck and neck
5751;不宜;不宜;bùyí;not suitable
5752;不已;不已;bùyǐ;unending
5753;不以為然;不以为然;bùyǐwéirán;disagree
5754;不由得;不由得;bùyóude;involuntarily
5755;不由自主;不由自主;bùyóuzìzhǔ;involuntarily
5756;不予;不予;bù yǔ;not given
5757;不約而同;不约而同;bùyuē'értóng;unanimously
5758;不知;不知;bùzhī;i don't know
5759;不知不覺;不知不觉;bùzhī-bùjué;unconsciously
5760;不准;不准;bù zhǔn;no
5761;佈局;布局;bùjú;layout
5762;步伐;步伐;bùfá;pace
5763;步入;步入;bùrù;step into
5764;步驟;步骤;bùzhòu;steps
5765;部件;部件;bùjiàn;part
5766;部署;部署;bùshǔ;deploy
5767;猜謎;猜谜;cāimí;riddle
5768;猜想;猜想;cāixiǎng;guess
5769;才華;才华;cáihuá;talent
5770;財經;财经;cáijīng;finance
5771;財力;财力;cáilì;financial resources
5772;財務;财务;cáiwù;finance
5773;財物;财物;cáiwù;property
5774;財政;财政;cáizhèng;finance
5775;裁;裁;cái;cut
5776;裁定;裁定;cáidìng;ruling
5777;裁決;裁决;cáijué;ruling
5778;採;采;cǎi;pick
5779;採集;采集;cǎijí;collection
5780;採礦;采矿;cǎikuàng;mining
5781;彩電;彩电;cǎidiàn;color tv
5782;彩虹;彩虹;cǎihóng;rainbow
5783;彩霞;彩霞;cǎixiá;pink clouds
5784;菜市場;菜市场;càishìchǎng;wet market
5785;參見;参见;cānjiàn;see
5786;參軍;参军;cānjūn;enlist
5787;參謀;参谋;cānmóu;staff officer
5788;參照;参照;cānzhào;reference
5789;餐桌;餐桌;cānzhuō;dining table
5790;殘;残;cán;remnants
5791;殘留;残留;cánliú;residue
5792;殘缺;残缺;cánquē;incomplete
5793;殘忍;残忍;cánrěn;cruel
5794;慚愧;惭愧;cánkuì;shame
5795;慘白;惨白;cǎnbái;tragic white
5796;慘痛;惨痛;cǎntòng;tragic
5797;慘重;惨重;cǎnzhòng;tragic
5798;燦爛;灿烂;cànlàn;brilliant
5799;蒼蠅;苍蝇;cāngying;flies
5800;滄桑;沧桑;cāngsāng;vicissitudes
5801;艙;舱;cāng;cabin
5802;藏匿;藏匿;cángnì;hide
5803;藏品;藏品;cángpǐn;collection
5804;藏身;藏身;cángshēn;hiding
5805;操控;操控;cāokòng;control
5806;操勞;操劳;cāoláo;overwork
5807;操心;操心;cāoxīn;worry
5808;槽;槽;cáo;groove
5809;草案;草案;cǎo'àn;draft
5810;草坪;草坪;cǎopíng;lawn
5811;側面;侧面;cèmiàn;side
5812;側重;侧重;cèzhòng;emphasis
5813;測算;测算;cèsuàn;measurement
5814;測驗;测验;cèyàn;test
5815;層出不窮;层出不穷;céngchū-bùqióng;emerging in an endless stream
5816;蹭;蹭;cèng;rub
5817;差錯;差错;chācuò;error
5818;差額;差额;chā'é;difference
5819;插手;插手;chāshǒu;intervene
5820;插圖;插图;chātú;illustration
5821;插嘴;插嘴;chāzuǐ;interrupt
5822;茶道;茶道;chádào;tea ceremony
5823;茶館兒;茶馆儿;cháguǎnr;teahouse
5824;查處;查处;cháchǔ;investigation and handling
5825;查明;查明;chámíng;investigate
5826;查找;查找;cházhǎo;search
5827;察覺;察觉;chájué;observation
5828;察看;察看;chákàn;observe
5829;詫異;诧异;chàyì;surprise
5830;摻;掺;chān;add
5831;攙;搀;chān;攙
5832;饞;馋;chán;gluttony
5833;禪杖;禅杖;chánzhàng;zen staff
5834;纏;缠;chán;entanglement
5835;產;产;chǎn;production
5836;產地;产地;chǎndì;origin
5837;產物;产物;chǎnwù;products
5838;產值;产值;chǎnzhí;output
5839;剷;铲;chǎn;剷
5840;鏟子;铲子;chǎnzi;shovel
5841;闡述;阐述;chǎnshù;explanation
5842;顫抖;颤抖;chàndǒu;trembling
5843;猖狂;猖狂;chāngkuáng;furious
5844;長達;长达;cháng dá;long
5845;長期以來;长期以来;chángqī yǐlái;for a long time
5846;長效;长效;chángxiào;long-lasting
5847;長征;长征;chángzhēng;long march
5848;長足;长足;chángzú;long legs
5849;常理;常理;chánglǐ;common sense
5850;常人;常人;chángrén;ordinary people
5851;常態;常态;chángtài;normal
5852;常溫;常温;chángwēn;room temperature
5853;償還;偿还;chánghuán;repayment
5854;嫦娥;嫦娥;Cháng'é;chang'e
5855;廠家;厂家;chǎngjiā;manufacturer
5856;敞開;敞开;chǎngkāi;open
5857;暢談;畅谈;chàngtán;changtan
5858;暢銷;畅销;chàngxiāo;bestselling
5859;倡議;倡议;chàngyì;advocacy
5860;抄襲;抄袭;chāoxí;plagiarism
5861;鈔票;钞票;chāopiào;banknotes
5862;超標;超标;chāobiāo;exceeding the standard
5863;超車;超车;chāochē;overtaking
5864;超前;超前;chāoqián;advanced
5865;超速;超速;chāosù;speeding
5866;朝代;朝代;cháodài;dynasty
5867;朝著;朝着;cháozhe;morning
5868;嘲弄;嘲弄;cháonòng;mock
5869;嘲笑;嘲笑;cháoxiào;laugh at
5870;吵嘴;吵嘴;chǎozuǐ;quarrel
5871;車道;车道;chēdào;lane
5872;車禍;车祸;chēhuò;car accident
5873;車間;车间;chējiān;workshop
5874;車輪;车轮;chēlún;wheels
5875;車速;车速;chēsù;speed
5876;車位;车位;chēwèi;parking space
5877;車廂;车厢;chēxiāng;carriage
5878;車型;车型;chēxíng;model
5879;車軸;车轴;chēzhóu;axle
5880;扯;扯;chě;pull
5881;徹夜;彻夜;chèyè;all night
5882;撤;撤;chè;withdraw
5883;撤換;撤换;chèhuàn;replace
5884;沉甸甸;沉甸甸;chéndiàndiàn;heavy
5885;沉澱;沉淀;chéndiàn;sediment
5886;沉浸;沉浸;chénjìn;immersive
5887;沉悶;沉闷;chénmèn;dull
5888;沉迷;沉迷;chénmí;addict
5889;沉思;沉思;chénsī;meditation
5890;沉穩;沉稳;chénwěn;calm and composed
5891;沉著;沉着;chénzhuó;calm
5892;陳舊;陈旧;chénjiù;old
5893;陳列;陈列;chénliè;display
5894;陳述;陈述;chénshù;statement
5895;襯托;衬托;chèntuō;lining
5896;趁;趁;chèn;take advantage of
5897;趁機;趁机;chènjī;take the opportunity
5898;趁早;趁早;chènzǎo;as early as possible
5899;趁著;趁着;chènzhe;taking advantage of
5900;稱呼;称呼;chēnghu;title
5901;稱作;称作;chēngzuò;named
5902;成才;成才;chéngcái;chengcai
5903;成家;成家;chéngjiā;getting married
5904;成年;成年;chéngnián;adult
5905;成年;成年;chéngnián;adult
5906;成千上萬;成千上万;chéngqiān-shàngwàn;thousands and tens of thousands
5907;成群結隊;成群结队;chéngqún-jiéduì;in groups
5908;成天;成天;chéngtiān;all day
5909;成問題;成问题;chéngwèntí;problem
5910;成型;成型;chéngxíng;forming
5911;呈現;呈现;chéngxiàn;present
5912;誠懇;诚恳;chéngkěn;sincere
5913;誠心誠意;诚心诚意;chéngxīn-chéngyì;sincere
5914;誠意;诚意;chéngyì;sincerity
5915;誠摯;诚挚;chéngzhì;sincere
5916;承包;承包;chéngbāo;contract
5917;承載;承载;chéngzài;bearing
5918;城牆;城墙;chéngqiáng;city wall
5919;乘人之危;乘人之危;chéngrénzhīwēi;taking advantage of someone's distress
5920;盛;盛;chéng;sheng
5921;懲處;惩处;chéngchǔ;punishment
5922;懲罰;惩罚;chéngfá;punishment
5923;澄清;澄清;chéngqīng;clarify
5924;橙汁;橙汁;chéngzhī;orange juice
5925;逞能;逞能;chěngnéng;showing off
5926;逞強;逞强;chěngqiáng;showing off
5927;秤;秤;chèng;scales
5928;吃不上;吃不上;chī bushàng;miss a meal
5929;吃喝玩樂;吃喝玩乐;chī-hē-wán-lè;food, drinks and entertainment
5930;吃苦;吃苦;chīkǔ;endure hardship
5931;吃虧;吃亏;chīkuī;suffer a loss
5932;痴獃;痴呆;chīdāi;dementia
5933;痴迷;痴迷;chīmí;obsessed
5934;痴心;痴心;chīxīn;infatuation
5935;池塘;池塘;chítáng;pond
5936;馳名;驰名;chímíng;chiming
5937;遲遲;迟迟;chíchí;slowly
5938;遲疑;迟疑;chíyí;hesitation
5939;遲早;迟早;chízǎo;sooner or later
5940;持;持;chí;hold
5941;持久;持久;chíjiǔ;lasting
5942;持之以恆;持之以恒;chízhī-yǐhéng;persistence
5943;尺度;尺度;chǐdù;scale
5944;恥辱;耻辱;chǐrǔ;shame
5945;恥笑;耻笑;chǐxiào;shame
5946;赤字;赤字;chìzì;deficit
5947;翅膀;翅膀;chìbǎng;wing
5948;衝刺;冲刺;chōngcì;sprint
5949;衝浪;冲浪;chōnglàng;surfing
5950;沖洗;冲洗;chōngxǐ;rinse
5951;衝撞;冲撞;chōngzhuàng;collision
5952;充;充;chōng;charge
5953;充當;充当;chōngdāng;full of
5954;充沛;充沛;chōngpèi;abundant
5955;充實;充实;chōngshí;fulfilling
5956;重播;重播;chóngbō;replay
5957;重疊;重叠;chóngdié;overlap
5958;重返;重返;chóngfǎn;return
5959;重合;重合;chónghé;coincide
5960;重申;重申;chóngshēn;reiterate
5961;重現;重现;chóngxiàn;reproduce
5962;崇高;崇高;chónggāo;sublime
5963;崇尚;崇尚;chóngshàng;advocate
5964;寵;宠;chǒng;pampering
5965;寵愛;宠爱;chǒng'ài;pampering
5966;抽籤;抽签;chōuqiān;drawing lots
5967;抽屜;抽屉;chōuti;drawer
5968;抽象;抽象;chōuxiàng;abstract
5969;仇;仇;chóu;hatred
5970;仇恨;仇恨;chóuhèn;hatred
5971;仇人;仇人;chóurén;enemy
5972;稠;稠;chóu;thick
5973;稠密;稠密;chóumì;dense
5974;愁眉苦臉;愁眉苦脸;chóuméi-kǔliǎn;frowning
5975;籌;筹;chóu;fundraising
5976;籌辦;筹办;chóubàn;preparation
5977;籌備;筹备;chóubèi;preparation
5978;籌措;筹措;chóucuò;fundraising
5979;籌劃;筹划;chóuhuà;planning
5980;籌集;筹集;chóují;fundraising
5981;籌碼;筹码;chóumǎ;chips
5982;醜惡;丑恶;chǒu'è;ugly
5983;醜陋;丑陋;chǒulòu;ugly
5984;醜聞;丑闻;chǒuwén;scandal
5985;瞅;瞅;chǒu;look
5986;出版社;出版社;chūbǎnshè;publishing house
5987;出廠;出厂;chūchǎng;factory
5988;出醜;出丑;chūchǒu;embarrassment
5989;出道;出道;chūdào;debut
5990;出發點;出发点;chūfādiǎn;starting point
5991;出風頭;出风头;chū fēngtou;showing off
5992;出境;出境;chūjìng;departure
5993;出局;出局;chūjú;eliminated
5994;出具;出具;chūjù;issue
5995;出口成章;出口成章;chūkǒu-chéngzhāng;speaking eloquently
5996;出賣;出卖;chūmài;betrayal
5997;出毛病;出毛病;chū máobìng;problem
5998;出難題;出难题;chū nántí;pose a difficult question
5999;出人意料;出人意料;chūrényìliào;unexpected
6000;出任;出任;chūrèn;appointed
6001;出山;出山;chūshān;leaving the mountain
6002;出身;出身;chūshēn;origin
6003;出示;出示;chūshì;show
6004;出手;出手;chūshǒu;take action
6005;出頭;出头;chūtóu;stand out
6006;出土;出土;chūtǔ;excavated
6007;出息;出息;chūxi;promises
6008;出血;出血;chūxiě;bleeding
6009;出演;出演;chūyǎn;starring
6010;出洋相;出洋相;chū yángxiàng;making a fool of oneself
6011;出遊;出游;chūyóu;travel
6012;出眾;出众;chūzhòng;outstanding
6013;出主意;出主意;chū zhǔyi;give ideas
6014;出資;出资;chūzī;investment
6015;出自;出自;chūzì;from
6016;出走;出走;chūzǒu;run away
6017;初次;初次;chūcì;first time
6018;初衷;初衷;chūzhōng;original intention
6019;除此之外;除此之外;chúcǐzhīwài;besides
6020;除去;除去;chúqù;remove
6021;除外;除外;chúwài;except
6022;處方;处方;chǔfāng;prescription
6023;處境;处境;chǔjìng;situation
6024;處置;处置;chǔzhì;treatment
6025;儲備;储备;chǔbèi;storage
6026;儲蓄;储蓄;chǔxù;savings
6027;觸動;触动;chùdòng;touch
6028;觸犯;触犯;chùfàn;offense
6029;觸覺;触觉;chùjué;tactile sensation
6030;觸摸;触摸;chùmō;touch
6031;觸目驚心;触目惊心;chùmù-jīngxīn;shocking
6032;揣;揣;chuāi;surmise
6033;揣測;揣测;chuǎicè;speculation
6034;揣摩;揣摩;chuǎimó;try to figure out
6035;踹;踹;chuài;kick
6036;川流不息;川流不息;chuānliú-bùxī;flowing continuously
6037;穿過;穿过;chuānguò;passed
6038;穿小鞋;穿小鞋;chuān xiǎoxié;wearing small shoes
6039;穿越;穿越;chuānyuè;time travel
6040;穿著;穿着;chuānzhuó;clothing
6041;傳承;传承;chuánchéng;inheritance
6042;傳奇;传奇;chuánqí;legend
6043;傳染;传染;chuánrǎn;infection
6044;傳染病;传染病;chuánrǎnbìng;infectious diseases
6045;傳人;传人;chuánrén;successor
6046;傳授;传授;chuánshòu;transmit
6047;傳聞;传闻;chuánwén;rumors
6048;船舶;船舶;chuánbó;ships
6049;船槳;船桨;chuánjiǎng;boat oar
6050;喘;喘;chuǎn;asthma
6051;喘息;喘息;chuǎnxī;respite
6052;串門;串门;chuànmén;visiting
6053;創傷;创伤;chuāngshāng;trauma
6054;床位;床位;chuángwèi;bed
6055;創;创;chuàng;creation
6056;創始人;创始人;chuàngshǐrén;founder
6057;吹了;吹了;chuī le;blow
6058;吹牛;吹牛;chuīniú;boast
6059;吹捧;吹捧;chuīpěng;praise
6060;垂;垂;chuí;drooping
6061;垂頭喪氣;垂头丧气;chuítóu-sàngqì;dejected
6062;捶;捶;chuí;hammer
6063;錘子;锤子;chuízi;hammer
6064;純粹;纯粹;chúncuì;pure
6065;純潔;纯洁;chúnjié;pure
6066;純樸;纯朴;chúnpǔ;pure and simple
6067;醇厚;醇厚;chúnhòu;mellow
6068;蠢;蠢;chǔn;stupid
6069;戳;戳;chuō;stamp
6070;綽號;绰号;chuòhào;nickname
6071;瓷;瓷;cí;porcelain
6072;瓷器;瓷器;cíqì;porcelain
6073;辭;辞;cí;word
6074;辭呈;辞呈;cíchéng;resignation
6075;辭去;辞去;cíqù;resignation
6076;辭退;辞退;cítuì;resignation
6077;慈善;慈善;císhàn;charitable
6078;慈祥;慈祥;cíxiáng;kindly
6079;磁帶;磁带;cídài;magnetic tape
6080;磁卡;磁卡;cíkǎ;magnetic card
6081;磁盤;磁盘;cípán;disk
6082;此起彼伏;此起彼伏;cǐqǐ-bǐfú;rising and falling
6083;次日;次日;cìrì;the next day
6084;伺候;伺候;cìhou;serve
6085;刺耳;刺耳;cì'ěr;shrill
6086;刺骨;刺骨;cìgǔ;bone-chilling
6087;刺繡;刺绣;cìxiù;embroidery
6088;賜;赐;cì;bestow
6089;賜教;赐教;cìjiào;instruction
6090;匆匆;匆匆;cōngcōng;hurriedly
6091;匆忙;匆忙;cōngmáng;hurry
6092;蔥;葱;cōng;scallions
6093;從今以後;从今以后;cóng jīn yǐhòu;from now on
6094;從來不;从来不;cónglái bù;never
6095;從容;从容;cóngróng;calm
6096;從容不迫;从容不迫;cóngróng-bùpò;calm and unhurried
6097;從頭;从头;cóngtóu;from the beginning
6098;從未;从未;cóngwèi;never
6099;從業;从业;cóngyè;employment
6100;從早到晚;从早到晚;cóngzǎo-dàowǎn;from morning to night
6101;叢林;丛林;cónglín;jungle
6102;湊;凑;còu;minato
6103;湊合;凑合;còuhe;coucou
6104;湊巧;凑巧;còuqiǎo;minato
6105;粗暴;粗暴;cūbào;rough
6106;粗糙;粗糙;cūcāo;rough
6107;粗魯;粗鲁;cūlǔ;rude
6108;粗略;粗略;cūlüè;roughly
6109;粗心大意;粗心大意;cūxīn-dàyì;careless
6110;促成;促成;cùchéng;facilitate
6111;簇擁;簇拥;cùyōng;crowd
6112;竄;窜;cuàn;竄
6113;催;催;cuī;urge
6114;催促;催促;cuīcù;urge
6115;催眠;催眠;cuīmián;hypnosis
6116;摧毀;摧毁;cuīhuǐ;destroy
6117;脆弱;脆弱;cuìruò;fragile
6118;翠綠;翠绿;cuìlǜ;emerald green
6119;存放;存放;cúnfàng;storage
6120;存心;存心;cúnxīn;deliberately
6121;存摺;存折;cúnzhé;passbook
6122;搓;搓;cuō;twist
6123;磋商;磋商;cuōshāng;consultation
6124;挫折;挫折;cuòzhé;frustration
6125;措手不及;措手不及;cuòshǒu-bùjí;caught off guard
6126;錯別字;错别字;cuòbiézì;misspelling
6127;錯覺;错觉;cuòjué;illusion
6128;錯位;错位;cuòwèi;misalignment
6129;錯綜複雜;错综复杂;cuòzōng-fùzá;intricate
6130;搭乘;搭乘;dāchéng;take
6131;搭建;搭建;dājiàn;set up
6132;達標;达标;dábiāo;meets standards
6133;答辯;答辩;dábiàn;answer
6134;打岔;打岔;dǎchà;interrupt
6135;打倒;打倒;dǎdǎo;defeat
6136;打盹兒;打盹儿;dǎdǔnr;nap
6137;打交道;打交道;dǎ jiāodao;dealing with
6138;打攪;打搅;dǎjiǎo;disturbing
6139;打撈;打捞;dǎlāo;salad
6140;打量;打量;dǎliang;sizing up
6141;打獵;打猎;dǎliè;hunting
6142;打磨;打磨;dǎmó;polishing
6143;打通;打通;dǎtōng;get through
6144;打仗;打仗;dǎzhàng;fight
6145;打招呼;打招呼;dǎ zhāohu;greet
6146;大包大攬;大包大揽;dàbāo-dàlǎn;big bags
6147;大筆;大笔;dàbǐ;large pen
6148;大臣;大臣;dàchén;minister
6149;大吃一驚;大吃一惊;dàchī-yījīng;to my great surprise
6150;大大咧咧;大大咧咧;dàdaliēliē;carefree
6151;大地;大地;dàdì;earth
6152;大隊;大队;dàduì;brigade
6153;大幅度;大幅度;dà fúdù;large
6154;大公無私;大公无私;dàgōng-wúsī;selfless
6155;大家庭;大家庭;dàjiātíng;extended family
6156;大街小巷;大街小巷;dàjiē-xiǎoxiàng;streets and alleys
6157;大驚小怪;大惊小怪;dàjīng-xiǎoguài;making a fuss over nothing
6158;大局;大局;dàjú;overall situation
6159;大款;大款;dàkuǎn;rich man
6160;大面積;大面积;dà miànjī;large area
6161;大名鼎鼎;大名鼎鼎;dàmíng-dǐngdǐng;famous
6162;大模大樣;大模大样;dàmú-dàyàng;smug
6163;大棚;大棚;dàpéng;greenhouse
6164;大片;大片;dàpiàn;blockbuster
6165;大氣;大气;dàqì;grand
6166;大廈;大厦;dàshà;building
6167;大數據;大数据;dàshùjù;big data
6168;大肆;大肆;dàsì;rampant
6169;大體;大体;dàtǐ;generally speaking
6170;大體上;大体上;dàtǐ shang;generally speaking
6171;大同小異;大同小异;dàtóng-xiǎoyì;mostly the same, with minor differences
6172;大腕兒;大腕儿;dàwànr;big shot
6173;大選;大选;dàxuǎn;election
6174;大雁;大雁;dàyàn;wild geese
6175;大意;大意;dàyì;main idea
6176;大意;大意;dàyi;main idea
6177;大有可為;大有可为;dàyǒu-kěwéi;there is great potential
6178;大宗;大宗;dàzōng;bulk
6179;歹徒;歹徒;dǎitú;thugs
6180;逮;逮;dǎi;catch
6181;代號;代号;dàihào;code name
6182;代理人;代理人;dàilǐrén;agent
6183;代言人;代言人;dàiyánrén;spokesperson
6184;帶隊;带队;dàiduì;leading the team
6185;帶路;带路;dàilù;lead the way
6186;帶頭;带头;dàitóu;leading
6187;帶頭人;带头人;dàitóurén;leader
6188;待;待;dài;treat
6189;怠工;怠工;dàigōng;sabotage
6190;怠慢;怠慢;dàimàn;neglect
6191;逮捕;逮捕;dàibǔ;arrest
6192;擔;担;dān;carry
6193;擔當;担当;dāndāng;responsibility
6194;擔負;担负;dānfù;burden
6195;單邊;单边;dānbiān;one side
6196;單薄;单薄;dānbó;thin
6197;單方面;单方面;dānfāngmiàn;unilateral
6198;單身;单身;dānshēn;single
6199;耽擱;耽搁;dānge;delay
6200;耽誤;耽误;dānwu;delay
6201;膽怯;胆怯;dǎnqiè;timid
6202;膽子;胆子;dǎnzi;gallbladder
6203;但願;但愿;dànyuàn;hopefully
6204;擔;担;dàn;carry
6205;擔子;担子;dànzi;carrying pole
6206;誕辰;诞辰;dànchén;birthday
6207;淡化;淡化;dànhuà;dilute
6208;淡季;淡季;dànjì;off-season
6209;蛋白質;蛋白质;dànbáizhì;protein
6210;當即;当即;dāngjí;immediately
6211;當今;当今;dāngjīn;today
6212;當面;当面;dāngmiàn;face to face
6213;當日;当日;dāngrì;that day
6214;當事人;当事人;dāngshìrén;parties
6215;當務之急;当务之急;dāngwùzhījí;the most urgent task
6216;當下;当下;dāngxià;at present
6217;當心;当心;dāngxīn;be careful
6218;當著;当着;dāngzhe;when
6219;當之無愧;当之无愧;dāngzhīwúkuì;deserved
6220;當眾;当众;dāngzhòng;in public
6221;當晚;当晚;dàngwǎn;that night
6222;當真;当真;dàngzhēn;really
6223;盪漾;荡漾;dàngyàng;rippling
6224;檔次;档次;dàngcì;class
6225;導彈;导弹;dǎodàn;missile
6226;導航;导航;dǎoháng;navigation
6227;導火索;导火索;dǎohuǒsuǒ;fuse
6228;導師;导师;dǎoshī;mentor
6229;導向;导向;dǎoxiàng;direction
6230;島嶼;岛屿;dǎoyǔ;islands
6231;搗亂;捣乱;dǎoluàn;trouble
6232;倒賣;倒卖;dǎomài;reselling
6233;倒霉;倒霉;dǎoméi;unlucky
6234;倒塌;倒塌;dǎotā;collapse
6235;倒下;倒下;dǎoxia;fall down
6236;到頭來;到头来;dàotóulái;in the end
6237;到位;到位;dàowèi;in place
6238;倒計時;倒计时;dàojìshí;countdown
6239;倒數;倒数;dàoshǔ;countdown
6240;盜;盗;dào;theft
6241;盜竊;盗窃;dàoqiè;theft
6242;悼念;悼念;dàoniàn;mourning
6243;道具;道具;dàojù;props
6244;稻草;稻草;dàocǎo;straw
6245;得不償失;得不偿失;débùchángshī;more harm than good
6246;得當;得当;dédàng;appropriate
6247;得力;得力;délì;deli
6248;得失;得失;déshī;gains and losses
6249;得手;得手;déshǒu;succeed
6250;得體;得体;détǐ;appropriate
6251;得天獨厚;得天独厚;détiāndúhòu;blessed
6252;得益於;得益于;déyì yú;benefiting from
6253;得意揚揚;得意扬扬;déyì-yángyáng;triumphant
6254;得知;得知;dézhī;learned
6255;得罪;得罪;dézuì;offend
6256;德;德;dé;germany
6257;燈籠;灯笼;dēnglong;lantern
6258;燈泡;灯泡;dēngpào;light bulb
6259;登機;登机;dēngjī;boarding
6260;登陸;登陆;dēnglù;landing
6261;蹬;蹬;dēng;kick
6262;凳子;凳子;dèngzi;stool
6263;瞪;瞪;dèng;stare
6264;低調;低调;dīdiào;low-key
6265;低估;低估;dīgū;underestimate
6266;低谷;低谷;dīgǔ;trough
6267;低價;低价;dījià;low price
6268;低迷;低迷;dīmí;sluggish
6269;低碳;低碳;dītàn;low carbon
6270;低下;低下;dīxià;low
6271;堤;堤;dī;embankment
6272;堤壩;堤坝;dībà;dam
6273;提防;提防;dīfang;beware
6274;笛子;笛子;dízi;flute
6275;抵觸;抵触;dǐchù;conflict
6276;抵擋;抵挡;dǐdǎng;resist
6277;抵消;抵消;dǐxiāo;offset
6278;抵押;抵押;dǐyā;mortgage
6279;抵禦;抵御;dǐyù;defense
6280;抵制;抵制;dǐzhì;resist
6281;底層;底层;dǐcéng;bottom layer
6282;底線;底线;dǐxiàn;bottom line
6283;底蘊;底蕴;dǐyùn;base
6284;底子;底子;dǐzi;foundation
6285;地步;地步;dìbù;level
6286;地道;地道;dìdào;typical
6287;地道;地道;dìdao;typical
6288;地段;地段;dìduàn;location
6289;地理;地理;dìlǐ;geography
6290;地毯;地毯;dìtǎn;carpet
6291;地下水;地下水;dìxiàshuǐ;groundwater
6292;地獄;地狱;dìyù;hell
6293;地域;地域;dìyù;area
6294;地質;地质;dìzhì;geology
6295;弟子;弟子;dìzǐ;disciple
6296;帝國;帝国;dìguó;empire
6297;帝國主義;帝国主义;dìguó zhǔyì;imperialism
6298;遞交;递交;dìjiāo;delivery
6299;第一手;第一手;dìyīshǒu;first-hand
6300;第一線;第一线;dìyīxiàn;first line
6301;顛倒;颠倒;diāndǎo;upside down
6302;顛覆;颠覆;diānfù;subversion
6303;巔峰;巅峰;diānfēng;peak
6304;典範;典范;diǎnfàn;exemplary
6305;點火;点火;diǎnhuǒ;ignition
6306;點擊率;点击率;diǎnjīlǜ;click rate
6307;點評;点评;diǎnpíng;review
6308;點心;点心;diǎnxin;dessert
6309;點綴;点缀;diǎnzhuì;embellishment
6310;點子;点子;diǎnzi;ideas
